Location/Nearest sampling ID,Date,Species,Notes
s2birds,13/09/2023,Golden eagle,2 spotted flying near upper transect whilst being mobbed by crows
s2birds,13/09/2023,Red deer,Group of 7
SLP1,13/09/2023,Barn owl,Flying from the trees in the Southern Plot to one of the houses by the road
SLP8,13/09/2023,Red deer,Heard at least one male deer
SLP7,14/09/2023,Red deer,A pair
SMarsh,15/09/2023,Common toad,
SMarsh,15/09/2023,Common frog,
PointS,14/09/2023,Golden eagle,Flying over southern plot
PointS,14/09/2023,Carrion crow,2 individuals
Observation made from the southeastern edge of the northern plot,14/09/2023,Golden eagle,2 individuals flying over towards the south eastern edge of the southern plot (eventually flew south over the hill of the southern plot)
s2birds,13/09/2023,Red deer,female with active fawn
n3birds,12/09/2023,Golden eagle,flying overhead
n1birds,13/09/2023,Red squirrel,2 individuals
n3birds,13/09/2023,Golden eagle,flying overhead
n3birds,13/09/2023,Peregrine falcon,hunting near plot
n2birds,15/09/2023,Ring ouzel,3 individuals flew east after perching on gorse in northern plot
